StateFP,Year,monetary_drought,rate_drought,monetary_flood,rate_flood,monetary_smoke,rate_smoke,State,ObjectId
9,2011,522.2445088,15.29440871,125.5577426,3.677073477,1490.736595,43.83470754,Connecticut,124
9,2012,462.1585114,13.49315579,134.3699717,3.923058684,1484.654498,42.44187034,Connecticut,125
9,2013,790.5456497,23.0484653,133.0256479,3.87838075,1450.113204,41.96808826,Connecticut,126
9,2010,349.9008761,10.28724528,103.1003438,3.031197112,1016.829939,30.03078106,Connecticut,127
9,2015,50.92714829,1.484114165,40.61714835,1.183661117,1234.326845,35.33039006,Connecticut,128
9,2016,654.8896828,19.10785072,23.83237606,0.695362129,1342.320676,36.59713731,Connecticut,129
9,2017,562.1325373,16.40267492,43.4934215,1.269110764,382.4740464,9.795524457,Connecticut,130
9,2014,619.1287575,18.0291703,75.72191589,2.205039421,992.6438022,29.05940664,Connecticut,131
9,2018,151.0985868,4.404455543,134.9954445,3.935056222,1090.985309,31.52320928,Connecticut,132
9,2019,0,0,125.4406687,3.660692038,1505.3071,44.57805014,Connecticut,133
9,2020,91.42609395,2.690026002,68.14780755,2.005109989,918.4962432,27.26655241,Connecticut,134
10,2018,44.71988482,4.847402606,53.93583336,5.846363429,288.087073,31.36031588,Delaware,135
10,2007,476.8148714,57.57510372,68.07821649,8.220402951,288.6797493,35.72512885,Delaware,136
10,2008,359.7341423,42.84179851,36.26511914,4.318919848,396.5529336,46.43182494,Delaware,137
10,2009,194.3532872,22.94219187,25.5349445,3.01424074,182.0665116,21.21266504,Delaware,138
10,2010,162.5305835,19.01521405,59.27284182,6.934607323,273.6119433,31.4954715,Delaware,139
10,2011,358.3901805,41.53751193,54.14148421,6.275011617,458.0202392,52.86612381,Delaware,140
10,2012,288.7465385,33.15668942,82.25392544,9.445196725,464.711789,53.63667165,Delaware,141
10,2013,242.1279182,27.53161985,76.45669561,8.693655377,354.1292538,38.69351648,Delaware,142
10,2014,47.9962681,5.401580569,64.28275258,7.234488868,158.5176554,17.05887252,Delaware,143
10,2015,23.11860795,2.575741808,36.59057674,4.076710782,293.9981954,33.18492214,Delaware,144
10,2016,143.4291679,15.83890973,40.32678167,4.453294014,242.6569503,25.73837117,Delaware,145
10,2019,0,0,41.11881383,4.410948546,399.4287135,44.57671743,Delaware,146
10,2020,0,0,19.45892348,2.06511363,260.4909992,26.81741523,Delaware,147
10,2017,160.9147581,17.61480406,40.16611107,4.39685076,76.1841781,8.529436262,Delaware,148
11,2007,328.1503007,60.13561347,15.11566716,2.770041398,212.614575,38.96296262,District of Columbia,149
11,2008,205.2755072,37.23993019,8.016297731,1.454271734,287.8405791,52.21842203,District of Columbia,150
16,2018,325.7359394,19.38770706,250.205706,14.89216985,736.0945003,44.84817985,Idaho,151
16,2019,221.1173328,12.87330879,18.13099479,1.055574846,681.7093432,38.99485243,Idaho,152
16,2020,374.5534699,21.31933682,8.335413979,0.474446274,703.2979202,36.59668512,Idaho,153
16,2016,839.2908535,52.08732492,3.985749203,0.247360034,766.7686638,50.90008215,Idaho,154
17,2008,602.0763853,4.971857902,1073.609742,8.865710748,6817.699289,56.15149852,Illinois,155
17,2009,673.4342792,5.539505246,1282.486437,10.54941895,5095.341279,40.39993448,Illinois,156
17,2010,733.9501691,6.014371711,635.4991644,5.207612667,5346.265605,44.24621896,Illinois,157
17,2007,1590.981173,13.19104207,608.3799352,5.044161082,6747.639837,55.6640715,Illinois,158
17,2012,2260.54301,18.4053531,400.5802848,3.261526789,8924.302275,71.04347279,Illinois,159
17,2013,3244.924206,26.35301717,637.4855049,5.177213825,7803.086079,61.85241834,Illinois,160
17,2014,1896.553958,15.39141511,706.0476997,5.729904594,6000.952668,49.92428909,Illinois,161
17,2011,2087.810706,17.04569228,718.5246723,5.866312699,6884.070918,56.30213982,Illinois,162
17,2015,463.5057924,3.76313148,479.1753259,3.890349986,6644.305996,50.21351576,Illinois,163
17,2016,1825.759271,14.84384466,411.3557305,3.344417119,6833.64055,50.42402346,Illinois,164
17,2017,2279.843438,18.5682336,420.6674725,3.42613522,4578.453946,35.78213902,Illinois,165
17,2018,1235.673042,10.09192119,707.2844725,5.776495008,5532.024314,45.56586842,Illinois,166
17,2019,1586.262305,12.99377757,1057.670285,8.663846064,5961.637924,47.43564787,Illinois,167
17,2020,65.38317522,0.538095965,1178.960315,9.702706949,5113.718544,45.84183882,Illinois,168
18,2007,757.7090318,12.50217223,551.7540582,9.103922448,3529.164429,58.79763363,Indiana,169
18,2008,1751.687448,28.6994117,834.5255634,13.67275466,3613.158631,58.75200744,Indiana,170
18,2009,1210.36079,19.72441376,550.4912798,8.970976148,2055.628498,31.95670327,Indiana,171
18,2010,710.3997746,11.51983142,160.2952557,2.599345313,2299.67436,36.73394693,Indiana,172
18,2011,2254.249,36.38681429,231.2088703,3.732043012,3365.376742,54.05929532,Indiana,173
18,2012,2634.51506,42.36288106,143.1336733,2.301582888,3971.146761,62.8070772,Indiana,174
18,2013,2613.261459,41.79908485,88.54063276,1.41620633,3147.780266,49.25479293,Indiana,175
18,2015,324.3837519,5.151519665,224.615515,3.567106045,2971.741806,46.61851536,Indiana,176
18,2016,976.2598136,15.43501366,178.9797461,2.82973322,2211.850001,33.2804268,Indiana,177
18,2017,1612.18193,25.38517706,101.2147972,1.593713154,1480.59909,22.8125139,Indiana,178
